configuration
AAM000+2520
AHM000+2544
AIM000+1750
AIM000+2520
AIM000-2520
AJM000+2496
CYM000+1730
CYM000+1740
CYM000+1750
CYM000+1760
CYM000+1770
CYM000+1780
CYM000+1790
CYM000+1800
CYM000+1810
DAM000+2520
DAM001+2545
DAM005+1800
DBM000+1700
DBM000+1800
DBM000+2520
DBM000+2592
DBM000+2620
DBM000-2520
DBM000-2620
DIR001+2520
DKJ000+2520
EBM000+2520
EBM001+2520
EBM002+2520
EBM003+2520
EBM005+2495
ECM000+2520
ECM001+2520
ECM002+2520
ECM003+2520
EDM000+2520
EDM001+2520
EEM000+2601
EEM001+2520
EEM001+2606
EEM003+2520
EES000+2520
EFM001+2520
EFM002+2520
EFS000+2520
EGM000+2520
EGS000+2520
EGS001+2520
EHM001+2520
EHM002+2520
EHM003+2520
EHM004+2544
EHM004-2544
EHM005+1724
EHM006+2556
EIM000+1700
EIM000+1750
EIM000+1785
EIM000+1790
EIM000+1795
EIM000+1800
EIM000+1805
EIM000+1810
EIM000+1815
EIM000+2420
EIM000+2450
EIM000+2520
EIM000+2521
EIM000+2570
EIM000+2614
EIM000+2670
EIM000+2720
EIM000+2770
EIM000-1790
EIM000-1800
EIM000-1815
EIM000-2450
EIM000-2520
EIM000-2570
EIM000-2614
EIM000-2620
EIM002+2520
EIM003+2520
EIM004+2520
EIM007+2520
EJM000+2519
EJM001+2520
EJM001+2570
EJM001+2620
EJM001+2670
EJM001-2520
EJM002+2520
EJM003+0100
EJM003+1700
EJM003+2300
EJM004+2519
EJM005+2519
EJM006+2519
EJM006-2520
EJM007+2520
EJM007-2520
EJM008+2520
EJM008-2520
EJM009+2520
EJM012-2520
EJM013+2496
EJM013+2620
EJM013-2496
EJM014+2696
EJM015+2620
EKM000+2520
EKM001+2520
EKM002+2534
EKM003+2520
EKM004+2620
EKM005+2520
EKM006+2620
FHS000+2520
FKM000+2520
FKM001+2520
FKM002+1800
FKM002+2520
FKM003+2520
FKM003-2520
FKM005+2620
FLM000+2520
FLM000-2520
FLM002+2520
FLM002-2520
FMM000+2520
FMM001+2520
FMM002+1700
FMM002+1750
FMM002+1800
FMM002+1810
FMM002+2520
FMM002+2570
FMM002+2620
FMM002+2670
FMM002+2720
FMM002-2520
FMM002-2620
FMM003+2520
FMM003-2520
FNM000+2520
FNM001+2520
FNM001-2520
FNM002+2520
FOM000+2520
FOM001+2520
FOM001+2520
FOM001-2520
FOM003+2520
FPM000+2520
FPM004+2520
FQM001+2520
FQM001-2520
FRM000+2520
FSM000+2520
FSM001+2520
FSM002+2520
FSM003+2531
FSM004+2541
FTM000+2520
FTM000+2522
FTM000+2620
FTM000+2642
FTM000-2620
FTM001+2512
FTM002+2517
FTM003+2527
FTM004+1800
FTM004+2520
FTM004+2585
FTM004-2520
IKJ000+2520
ILD000+2520
ILD000+2570
ILD000+2620
ILD001+2520
ILD003+2520
IMD000+2496
JJL000+2520
JKL000+2520
JYM000+1730
KJL000+2520
KJM000+2764
KJM001+1130
KJM001+2519
KJM001+2529
KJM001+2600
KJM001+2650
KJM001+2699
KJM002+2521
KJM002-2520
KJM002-2600
KJM003+2522
KJM005+2520
KJM008+1700
KJM008+1800
KJM008+2520
KJM008+2620
KJM008+2763
KJM008-2520
KJM008-2620
KJM009+1750
KKM000+1700
KKM000+2300
KKM000+2520
KKM000+2620
KKM000-2520
KKM001+2520
KKM002+2520
KKM003+2520
KKM004+2520
KKM005+2520
KKM006+2495
KKM009+2520
KKM009-2520
KKM009-2600
KKM014+2519
KKM015+2518
KLM000+2520
KLM001+2520
KLM001-2520
KLM001-2620
KLM002+2520
KLM003+2520
KLM004+1000
KLM004+2217
KLM004+2520
KNM000-2525
KNM000-2620
KOF000+2520
KOF001+2520
KTM000+2520
KTM000+2570
KTM000+2590
KTM001+2520
LMM000+2496
LQH000+2520
MLG001+2520
MLG003+2520
MLG004+2520
MMG000+1750
MMG000+1760
MMG000+1770
MMG000+1780
MMG000+1790
MMG000+1800
MMG000+1810
MMG000+1815
MMG000+2520
MMG001+2520
MMG002+2520
MMG003+2520
NMG001+2520
NNG001+2520
NNG003+2520
NNG004+2520
UFM000+1690
UFM000+1720
UFM000+1800
UFM000+1815
UFM000+1825
UFM000+1835
XIM000+2455
XIM001+2485
