    x[mm]      y[mm]      z[mm]      beta[deg]
    4944.855    -969.432    -950.751      -3.066
    4949.688    -970.379    -951.614      -3.006
    4954.521    -971.326    -952.478      -2.947
    4959.354    -972.273    -953.342      -2.888
    4964.187    -973.220    -954.206      -2.829
    4969.020    -974.167    -955.070      -2.770
    4973.853    -975.115    -955.934      -2.711
    4978.686    -976.062    -956.798      -2.653
    4983.519    -977.009    -957.662      -2.594
    4988.351    -977.956    -958.526      -2.536
    4993.184    -978.903    -959.389      -2.478
    4998.017    -979.850    -960.253      -2.420
    5002.850    -980.797    -961.117      -2.363
    5007.683    -981.744    -961.981      -2.305
    5012.516    -982.691    -962.845      -2.247
    5017.349    -983.638    -963.709      -2.190
    5022.182    -984.585    -964.573      -2.133
    5027.015    -985.532    -965.437      -2.076
    5031.847    -986.479    -966.300      -2.019
    5036.680    -987.426    -967.164      -1.962
    5041.513    -988.373    -968.028      -1.905
    5046.346    -989.320    -968.892      -1.848
    5051.179    -990.267    -969.756      -1.791
    5056.012    -991.214    -970.620      -1.735
    5060.845    -992.161    -971.484      -1.678
    5065.678    -993.108    -972.348      -1.622
    5070.511    -994.055    -973.211      -1.566
    5075.343    -995.003    -974.075      -1.510
    5080.176    -995.950    -974.939      -1.454
    5085.009    -996.897    -975.803      -1.398
    5089.842    -997.844    -976.667      -1.342
    5094.675    -998.791    -977.531      -1.286
    5099.508    -999.738    -978.395      -1.230
    5104.341   -1000.685    -979.259      -1.175
    5109.174   -1001.632    -980.122      -1.119
    5114.007   -1002.579    -980.986      -1.064
    5118.839   -1003.526    -981.850      -1.009
    5123.672   -1004.473    -982.714      -0.954
    5128.505   -1005.420    -983.578      -0.899
    5133.338   -1006.367    -984.442      -0.844
    5138.171   -1007.314    -985.306      -0.789
    5143.004   -1008.261    -986.169      -0.734
    5147.837   -1009.208    -987.033      -0.679
    5152.670   -1010.155    -987.897      -0.625
    5157.503   -1011.102    -988.761      -0.570
    5162.335   -1012.049    -989.625      -0.516
    5167.168   -1012.996    -990.489      -0.462
    5172.001   -1013.943    -991.352      -0.408
    5176.834   -1014.891    -992.216      -0.354
    5181.667   -1015.838    -993.080      -0.300
    5186.500   -1016.785    -993.944      -0.246
    5191.333   -1017.732    -994.808      -0.192
    5196.166   -1018.679    -995.672      -0.139
    5200.999   -1019.626    -996.536      -0.085
    5205.832   -1020.573    -997.399      -0.032
    5210.664   -1021.520    -998.263       0.021
    5215.497   -1022.467    -999.127       0.074
    5220.330   -1023.414    -999.991       0.127
    5225.163   -1024.361   -1000.855       0.180
    5229.996   -1025.308   -1001.719       0.233
    5234.829   -1026.255   -1002.582       0.285
    5239.662   -1027.202   -1003.446       0.338
    5244.495   -1028.149   -1004.310       0.390
    5249.328   -1029.096   -1005.174       0.442
    5254.161   -1030.043   -1006.038       0.495
    5258.993   -1030.990   -1006.901       0.547
    5263.826   -1031.937   -1007.765       0.599
    5268.659   -1032.884   -1008.629       0.650
    5273.492   -1033.831   -1009.493       0.702
    5278.325   -1034.779   -1010.357       0.754
    5283.158   -1035.726   -1011.221       0.805
    5287.991   -1036.673   -1012.084       0.857
    5292.824   -1037.620   -1012.948       0.908
    5297.657   -1038.567   -1013.812       0.959
    5302.489   -1039.514   -1014.676       1.010
    5307.322   -1040.461   -1015.540       1.061
    5312.155   -1041.408   -1016.404       1.112
    5316.988   -1042.355   -1017.267       1.163
    5321.821   -1043.302   -1018.131       1.214
    5326.654   -1044.249   -1018.995       1.264
    5331.487   -1045.196   -1019.859       1.315
    5336.320   -1046.143   -1020.723       1.365
    5341.153   -1047.090   -1021.586       1.416
    5345.986   -1048.037   -1022.450       1.466
    5350.818   -1048.984   -1023.314       1.516
    5355.651   -1049.931   -1024.178       1.566
    5360.484   -1050.878   -1025.042       1.616
    5365.317   -1051.825   -1025.905       1.666
    5370.150   -1052.772   -1026.769       1.716
    5374.983   -1053.720   -1027.633       1.766
    5379.816   -1054.667   -1028.497       1.816
    5384.649   -1055.614   -1029.361       1.866
    5389.482   -1056.561   -1030.224       1.916
    5394.315   -1057.508   -1031.088       1.966
    5399.148   -1058.455   -1031.952       2.015
    5403.980   -1059.402   -1032.816       2.065
    5408.813   -1060.349   -1033.680       2.115
    5413.646   -1061.296   -1034.543       2.165
    5418.479   -1062.243   -1035.407       2.214
    5423.312   -1063.190   -1036.271       2.264
    5428.145   -1064.137   -1037.135       2.314
    5432.978   -1065.084   -1037.999       2.364
    5437.811   -1066.031   -1038.862       2.413
    5442.644   -1066.978   -1039.726       2.463
    5447.477   -1067.925   -1040.590       2.513
    5452.309   -1068.872   -1041.454       2.563
    5457.142   -1069.819   -1042.318       2.613
    5461.975   -1070.766   -1043.181       2.663
    5466.808   -1071.713   -1044.045       2.713
    5471.641   -1072.661   -1044.909       2.763
    5476.474   -1073.608   -1045.773       2.814
    5481.307   -1074.555   -1046.636       2.864
    5486.140   -1075.502   -1047.500       2.915
    5490.973   -1076.449   -1048.364       2.965
    5495.806   -1077.396   -1049.228       3.016
    5499.444   -1078.109   -1049.878       3.054
