    x[mm]      y[mm]      z[mm]      beta[deg]
    4944.855    -969.432    -950.751      -4.751
    4949.688    -970.379    -951.614      -4.686
    4954.521    -971.326    -952.478      -4.622
    4959.354    -972.273    -953.342      -4.558
    4964.187    -973.220    -954.206      -4.494
    4969.020    -974.167    -955.070      -4.431
    4973.853    -975.115    -955.934      -4.368
    4978.686    -976.062    -956.798      -4.304
    4983.519    -977.009    -957.662      -4.242
    4988.351    -977.956    -958.526      -4.179
    4993.184    -978.903    -959.389      -4.116
    4998.017    -979.850    -960.253      -4.054
    5002.850    -980.797    -961.117      -3.992
    5007.683    -981.744    -961.981      -3.930
    5012.516    -982.691    -962.845      -3.868
    5017.349    -983.638    -963.709      -3.806
    5022.182    -984.585    -964.573      -3.744
    5027.015    -985.532    -965.437      -3.683
    5031.847    -986.479    -966.300      -3.622
    5036.680    -987.426    -967.164      -3.560
    5041.513    -988.373    -968.028      -3.499
    5046.346    -989.320    -968.892      -3.439
    5051.179    -990.267    -969.756      -3.378
    5056.012    -991.214    -970.620      -3.317
    5060.845    -992.161    -971.484      -3.257
    5065.678    -993.108    -972.348      -3.196
    5070.511    -994.055    -973.211      -3.136
    5075.343    -995.003    -974.075      -3.076
    5080.176    -995.950    -974.939      -3.016
    5085.009    -996.897    -975.803      -2.956
    5089.842    -997.844    -976.667      -2.896
    5094.675    -998.791    -977.531      -2.836
    5099.508    -999.738    -978.395      -2.777
    5104.341   -1000.685    -979.259      -2.717
    5109.174   -1001.632    -980.122      -2.658
    5114.007   -1002.579    -980.986      -2.599
    5118.839   -1003.526    -981.850      -2.540
    5123.672   -1004.473    -982.714      -2.481
    5128.505   -1005.420    -983.578      -2.422
    5133.338   -1006.367    -984.442      -2.363
    5138.171   -1007.314    -985.306      -2.305
    5143.004   -1008.261    -986.169      -2.246
    5147.837   -1009.208    -987.033      -2.188
    5152.670   -1010.155    -987.897      -2.130
    5157.503   -1011.102    -988.761      -2.072
    5162.335   -1012.049    -989.625      -2.014
    5167.168   -1012.996    -990.489      -1.956
    5172.001   -1013.943    -991.352      -1.898
    5176.834   -1014.891    -992.216      -1.841
    5181.667   -1015.838    -993.080      -1.784
    5186.500   -1016.785    -993.944      -1.726
    5191.333   -1017.732    -994.808      -1.669
    5196.166   -1018.679    -995.672      -1.612
    5200.999   -1019.626    -996.536      -1.555
    5205.832   -1020.573    -997.399      -1.499
    5210.664   -1021.520    -998.263      -1.442
    5215.497   -1022.467    -999.127      -1.386
    5220.330   -1023.414    -999.991      -1.330
    5225.163   -1024.361   -1000.855      -1.274
    5229.996   -1025.308   -1001.719      -1.218
    5234.829   -1026.255   -1002.582      -1.162
    5239.662   -1027.202   -1003.446      -1.106
    5244.495   -1028.149   -1004.310      -1.050
    5249.328   -1029.096   -1005.174      -0.995
    5254.161   -1030.043   -1006.038      -0.940
    5258.993   -1030.990   -1006.901      -0.885
    5263.826   -1031.937   -1007.765      -0.830
    5268.659   -1032.884   -1008.629      -0.775
    5273.492   -1033.831   -1009.493      -0.720
    5278.325   -1034.779   -1010.357      -0.665
    5283.158   -1035.726   -1011.221      -0.611
    5287.991   -1036.673   -1012.084      -0.557
    5292.824   -1037.620   -1012.948      -0.503
    5297.657   -1038.567   -1013.812      -0.448
    5302.489   -1039.514   -1014.676      -0.395
    5307.322   -1040.461   -1015.540      -0.341
    5312.155   -1041.408   -1016.404      -0.287
    5316.988   -1042.355   -1017.267      -0.233
    5321.821   -1043.302   -1018.131      -0.180
    5326.654   -1044.249   -1018.995      -0.127
    5331.487   -1045.196   -1019.859      -0.073
    5336.320   -1046.143   -1020.723      -0.020
    5341.153   -1047.090   -1021.586       0.033
    5345.986   -1048.037   -1022.450       0.086
    5350.818   -1048.984   -1023.314       0.139
    5355.651   -1049.931   -1024.178       0.191
    5360.484   -1050.878   -1025.042       0.244
    5365.317   -1051.825   -1025.905       0.296
    5370.150   -1052.772   -1026.769       0.349
    5374.983   -1053.720   -1027.633       0.401
    5379.816   -1054.667   -1028.497       0.454
    5384.649   -1055.614   -1029.361       0.506
    5389.482   -1056.561   -1030.224       0.558
    5394.315   -1057.508   -1031.088       0.610
    5399.148   -1058.455   -1031.952       0.663
    5403.980   -1059.402   -1032.816       0.715
    5408.813   -1060.349   -1033.680       0.767
    5413.646   -1061.296   -1034.543       0.819
    5418.479   -1062.243   -1035.407       0.871
    5423.312   -1063.190   -1036.271       0.923
    5428.145   -1064.137   -1037.135       0.975
    5432.978   -1065.084   -1037.999       1.027
    5437.811   -1066.031   -1038.862       1.079
    5442.644   -1066.978   -1039.726       1.131
    5447.477   -1067.925   -1040.590       1.183
    5452.309   -1068.872   -1041.454       1.235
    5457.142   -1069.819   -1042.318       1.287
    5461.975   -1070.766   -1043.181       1.339
    5466.808   -1071.713   -1044.045       1.392
    5471.641   -1072.661   -1044.909       1.444
    5476.474   -1073.608   -1045.773       1.496
    5481.307   -1074.555   -1046.636       1.549
    5486.140   -1075.502   -1047.500       1.602
    5490.973   -1076.449   -1048.364       1.654
    5495.806   -1077.396   -1049.228       1.707
    5499.444   -1078.109   -1049.878       1.747
