    x[mm]      y[mm]      z[mm]      beta[deg]
    5584.385    1568.647    -706.221       7.135
    5589.207    1569.967    -706.226       6.994
    5594.030    1571.287    -706.232       6.853
    5598.853    1572.607    -706.238       6.711
    5603.675    1573.928    -706.244       6.570
    5608.498    1575.248    -706.249       6.428
    5613.320    1576.568    -706.255       6.286
    5618.143    1577.888    -706.261       6.145
    5622.966    1579.208    -706.266       6.003
    5627.788    1580.528    -706.272       5.861
    5632.611    1581.848    -706.278       5.720
    5637.433    1583.168    -706.283       5.578
    5642.256    1584.488    -706.289       5.437
    5647.079    1585.808    -706.295       5.295
    5651.901    1587.128    -706.300       5.153
    5656.724    1588.448    -706.306       5.012
    5661.546    1589.768    -706.312       4.871
    5666.369    1591.088    -706.317       4.729
    5671.191    1592.409    -706.323       4.588
    5676.014    1593.729    -706.328       4.447
    5680.837    1595.049    -706.334       4.306
    5685.659    1596.369    -706.340       4.165
    5690.482    1597.689    -706.345       4.024
    5695.304    1599.009    -706.351       3.883
    5700.127    1600.329    -706.356       3.742
    5704.950    1601.649    -706.362       3.601
    5709.772    1602.969    -706.367       3.461
    5714.595    1604.289    -706.373       3.320
    5719.417    1605.609    -706.378       3.180
    5724.240    1606.929    -706.384       3.040
    5729.063    1608.249    -706.389       2.900
    5733.885    1609.569    -706.395       2.760
    5738.708    1610.889    -706.400       2.620
    5743.530    1612.209    -706.406       2.480
    5748.353    1613.530    -706.411       2.340
    5753.176    1614.850    -706.417       2.201
    5757.998    1616.170    -706.422       2.061
    5762.821    1617.490    -706.428       1.922
    5767.643    1618.810    -706.433       1.782
    5772.466    1620.130    -706.438       1.643
    5777.289    1621.450    -706.444       1.504
    5782.111    1622.770    -706.449       1.365
    5786.934    1624.090    -706.455       1.226
    5791.756    1625.410    -706.460       1.088
    5796.579    1626.730    -706.465       0.949
    5801.402    1628.050    -706.471       0.810
    5806.224    1629.370    -706.476       0.672
    5811.047    1630.690    -706.481       0.534
    5813.948    1631.484    -706.485       0.451
